Section_Name,Article_Count
Arts; Books,23
,
Arts,20
,
Movies; Corrections; New York and Region,1
,
Movies; Arts,14
,
Books; New York and Region,3
,
Opinion,230
,
Movies; World,1
,
New York and Region,30
,
World; Health; Washington,2
,
Travel,2
,
World,330
,
Paid Death Notices,75
,
World; Washington,109
,
Style,3
,
U.S.; Washington,22
,
Business,16
,
Front Page; New York and Region,9
,
Arts; Theater; Opinion,3
,
Arts; Theater,3
,
Week in Review,30
,
U.S.; Obituaries,7
,
Health; U.S.,1
,
World; Front Page,17
,
Corrections; New York and Region,14
,
Arts; Opinion,1
,
Magazine; Washington; Opinion,4
,
Obituaries; New York and Region,7
,
Washington; New York and Region,3
,
Business; Obituaries,5
,
Home and Garden; Style; Books,1
,
U.S.,25
,
Arts; Obituaries,4
,
Magazine,10
,
World; Front Page; Washington,32
,
World; Obituaries,4
,
Home and Garden; Style,4
,
Sports,2
,
Front Page; U.S.; Washington,7
,
Front Page; U.S.,3
,
Washington; Week in Review,13
,
Education; New York and Region,2
,
Health,3
,
Health; Opinion,2
,
Movies; World; Theater,1
,
Education; U.S.; Washington,1
,
Corrections; Magazine,1
,
Front Page,2
,
Technology; Business,2
,
Business; Washington,2
,
Movies; Arts; Theater,1
,
New York and Region; Opinion,3
,
Corrections; Books; New York and Region,1
,
World; Education,2
,
Technology,2
,
Technology; New York and Region,1
,
Movies; Week in Review,1
,
World; Front Page; Theater,1
,
Magazine; Washington,4
,
Movies; Arts; Opinion,1
,
Real Estate,2
,
World; Health,2
,
Science; Opinion,4
,
Books; Week in Review,1
,
Corrections; Washington; New York and Region,5
,
Technology; Opinion,2
,
Technology; Arts,1
,
Theater; New York and Region,1
,
Technology; Washington,1
,
Magazine; Opinion,8
,
Front Page; Corrections; Editors' Notes; New York and Region,1
,
World; Corrections; Editors' Notes,1
,
Arts; Corrections; Books,1
,
Technology; Movies; Magazine; Opinion,1
,
Arts; Books; Opinion,2
,
Theater; Magazine; Opinion,1
,
U.S.; Washington; Books,1
,
Movies; New York and Region,1
